Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
2004-11-25,0.35958288385472853,0.6898573719883414,0.005371146202599634,0.8777203846170725,0.8486767008541931,0.7890820000000001,1.324768,0.16318271568675444,0.04276519768212629,0.31317332264368386,1.885055,0.0009448670099683468,0.03132832080200501,0.009766225851785803,0.0883197173769044,0.14842190410460776,0.1685388524189539,0.712825,0.610260306533752
2004-11-26,0.36101083032490977,0.6928014465694203,0.005377934335421765,0.8790088296436938,0.8504883929596572,0.7886099999999999,1.329396,0.16397205916111895,0.042886244237160934,0.3134550583810046,1.8904150000000002,0.0009536524890329964,0.03141196795979268,0.009768181516256209,0.08833141948591114,0.14895249160280327,0.1708905104499547,0.71465,0.61168626611411
2004-11-29,0.3595828838547285,0.6872398797055315,0.005343164756485266,0.8764741199104243,0.8425345123199609,0.781256,1.327327,0.1637599279456317,0.04279585308183637,0.3137058066944819,1.888825,0.0009539709038874314,0.031446540880503145,0.009743018153191422,0.0883119176932927,0.1490812865715031,0.17191287455517543,0.712225,0.6112039801603188
2004-11-30,0.36363636363636365,0.6877044631331953,0.005378946802216126,0.8785493393308969,0.8431809845824356,0.7700400000000001,1.329443,0.16311617133722636,0.04286418483036499,0.3162755392497944,1.9066450000000001,0.0009527892906483731,0.03139717425431711,0.00973779051480777,0.08863676653075696,0.148848286384103,0.17129740655726472,0.712055,0.6111479497514156
2004-12-01,0.36505676632716394,0.6913444367858844,0.005418879375745095,0.8779554174239032,0.8447693990732879,0.7749050000000001,1.333053,0.16325464459463873,0.043098804008188774,0.31881147083672073,1.928655,0.0009555661729574773,0.031416902293433864,0.009761888027239572,0.08931920898908519,0.1487420144131012,0.1723692148582263,0.7149300000000001,0.613591041570793
2004-12-02,0.3619254433586681,0.6935726621399491,0.00538923769232842,0.8700191404210893,0.8377349322900741,0.772215,1.327278,0.16199578810950915,0.04297378599054577,0.3163055511624229,1.920625,0.0009592786224758981,0.03142183817753339,0.009708530497406853,0.08903530249744022,0.14774649656120029,0.17063681659954952,0.71332,0.6105472029306266
2004-12-03,0.3651634106262553,0.701483637894146,0.005460154522372983,0.8856454584100891,0.8395988396744035,0.7798860000000001,1.3457819999999998,0.16506280639783438,0.043677754264586734,0.32116647664316794,1.939518,0.0009579002825805833,0.03141690229343387,0.009816172536901447,0.08960573476702509,0.15123445120798518,0.17447135180403378,0.718705,0.6122442732201294
2004-12-06,0.36376864314296115,0.7045508347518289,0.005407305269418985,0.8772006771989229,0.832552815069206,0.7708550000000001,1.3402880000000001,0.16458196181698487,0.043576877237400294,0.3199385717942155,1.934555,0.000962834585018294,0.03168567807351077,0.009708954665977978,0.08942384218480333,0.15066480846736224,0.17293857221914777,0.7165499999999999,0.6105285651052398
2004-12-07,0.3599712023038157,0.7035411335876869,0.005429618569295506,0.8782445647639497,0.8275405494869249,0.7725449999999999,1.342803,0.164211701725865,0.043706007172155774,0.32049741198339826,1.941395,0.0009593706528517294,0.03168567807351077,0.009741537526350858,0.08874216850362956,0.15060127559280426,0.1719912284473492,0.71512,0.6117704637220115
2004-12-08,0.35887313834559487,0.6930756200947572,0.0053928706250337055,0.8713419973772605,0.8231909350214235,0.756198,1.3340020000000001,0.16246689736966094,0.04325652416525723,0.3173142521696362,1.929575,0.0009439305267132338,0.031333228889237036,0.009630506362394028,0.08841342115733168,0.14864473165909817,0.17003043544794516,0.713445,0.6081892685003573
