Date,BRL,TRY,HUF,CHF,CAD,AUD,EUR,NOK,CZK,PLN,GBP,KRW,TWD,JPY,MXN,SEK,ZAR,NZD,SGD
2000-08-02,,1.5738191787779339,1.0835056967572305,0.5871517116796967,0.6748290216289287,0.584665,0.915045,0.1119924084236827,-0.018625439867522253,0.271060502283105,1.496435,,,-0.6173172635445362,0.18882619378271553,0.08662539339443195,0.16651151645207438,0.4544,0.5730235909169902
2000-08-03,,1.566632398753894,1.053480439927607,0.5817161588335387,0.6724917414292451,0.586485,0.9085850000000001,0.11208129968159247,-0.01688918199047278,0.26853452421458546,1.498645,,,-0.5932689467368227,0.1871098081023454,0.08677029562581297,0.16536151645207436,0.45712,0.5737782255726298
2000-08-04,,1.5658948731122528,1.028482621717629,0.5812883172090296,0.6704715717547511,0.586585,0.90989,0.11299982320652846,-0.017826718184385516,0.26995629849383845,1.505055,,,-0.6322935923402689,0.18769837058476713,0.08616817577875638,0.16598315354189142,0.45641499999999996,0.5748788307084327
2000-08-07,,1.5649048731122528,1.0384798343598844,0.5807414712778429,0.6713499562878279,0.586975,0.9093399999999999,0.11280450169051298,-0.020294380751632306,0.27168532845044635,1.513645,,,-0.6143340971585701,0.19276736390453206,0.08721801517424292,0.16667350197344816,0.454825,0.5727162011577424
2000-08-08,,1.5598496742165684,1.0384598484586374,0.5790177928717499,0.6712995185583647,0.583775,0.903775,0.11219245599189429,-0.01843697436028528,0.271975966155957,1.5058950000000002,,,-0.5902952871870398,0.19065816545220746,0.08734123746181677,0.16626647564469912,0.453225,0.5733742757821553
2000-08-09,,1.558166676994578,1.0384579342300908,0.5778054313611192,0.6732538334457181,0.578975,0.903075,0.11356725579944983,-0.01853591708894604,0.2706026364053187,1.503315,,,-0.5912244225953066,0.18531916720326252,0.08736669017054732,0.16580714285714285,0.452025,0.5757335660267597
2000-08-10,,1.5618965540015541,1.0634826217176292,0.5815073115283074,0.6731983672712561,0.58297,0.9096699999999999,0.1141831982672741,-0.017273880270638784,0.27184370830457794,1.498115,,,-0.6397995215751219,0.18496390719605638,0.08778598985433256,0.1668331535418914,0.452115,0.5770383985308692
2000-08-11,,,1.0434603273469671,0.5756425479149727,0.6726832510274203,0.578485,0.90418,0.11411181322365775,-0.018421281493797157,0.2738201714022777,1.503035,,,-0.6157859577996867,0.18545055864414098,0.08615042335829617,0.16769315033722534,0.449415,0.577485706610605
2000-08-14,,1.5594184863523572,1.1034719811124227,0.5764162566907144,0.6717566800107649,0.582325,0.9073049999999999,0.11431169229561336,-0.01983462515720042,0.27220530847473196,1.506715,,,-0.5993609029427893,0.18586904697696996,0.0873544566305436,0.16854000144540002,0.45061,0.5767635103158876
2000-08-15,,1.5643581231534753,1.048498827892656,0.5793668611176057,0.6725678644570197,0.58299,0.91425,0.11458029321820472,-0.018680888693811157,0.27421551823972207,1.504745,,,-0.5773290535583272,0.18862480990658267,0.08790222992716648,0.16774810674359897,0.44873799999999997,0.5759785660267598
2000-08-16,,1.564501858764971,0.9535119758376063,0.5812514712778429,0.6755249864682003,0.5915600000000001,0.9176,0.11515584240205219,-0.017608021334990422,0.27312412958266086,1.50082,,,-0.5717910488995304,0.18634353741496598,0.08801796616082329,0.16648666786613892,0.45294,0.5765561822947001
2000-08-17,,1.5648031231534754,0.9635123458958238,0.5809180814294084,0.6768391865509761,0.592825,0.91793,0.1155581209757867,-0.016627448190215003,0.2741840579710145,1.498535,,,-0.5717944398416644,0.1876464745688714,0.08758406070763906,0.16686315979754157,0.45283999999999996,0.5767955827505827
2000-08-18,,1.5558904098994588,0.9634749973937519,0.5759912539940742,0.676094761646804,0.590935,0.9081,0.11469925727265573,-0.016895739451044656,0.2744770428920144,1.49087,,,-0.6092757586938475,0.18888472296933834,0.08500000968940086,0.1665501443001443,0.450535,0.5762161822947002
2000-08-21,,1.5518957581366652,0.9739564999481525,0.572519011090573,0.675813950930626,0.58816,0.903628,0.1144302504989796,-0.01953462018386004,0.2771571287588529,1.488255,,,-0.5911003679852807,0.19229136069114472,0.08508728855480639,0.16827350197344815,0.450143,0.5763308330905914
2000-08-22,,1.5476748884786955,0.988437134804427,0.5698320009199632,0.676130616577504,0.58006,0.898573,0.113861923304032,-0.01865723915963405,0.27530343069077423,1.4833749999999999,,,-0.5705680945347119,0.18864902936246147,0.0851042231195176,0.16761270125223612,0.440235,0.5769005827505828
2000-08-23,,1.549458866995074,1.0434524426031417,0.5765555885089556,0.671796680010765,0.572115,0.902668,0.11400556822118663,-0.018645030425963483,0.271467251293847,1.487905,,,-0.5626507105459986,0.1845661181183349,0.0862156737076812,0.16707816091954023,0.43172799999999995,0.5759528222286878
2000-08-24,,1.5518446277169722,0.9739566194262012,0.5793271495327103,0.6712189075630252,0.57213,0.903635,0.11344908289555694,-0.019495001020199958,0.27034982279638736,1.482285,,,-0.5621419614448812,0.18356584518510477,0.0863256737076812,0.16664610670511898,0.43384500000000004,0.5758629608093964
2000-08-25,,1.5515001293700907,0.9834549474847982,0.5802382707272833,0.673167907227616,0.57432,0.90354,0.11363214098751406,-0.01892389830941968,0.2707139381797367,1.470255,,,-0.5426410856340665,0.1843012942004657,0.08646909114337258,0.16675867052023122,0.43643,0.5759765487471659
2000-08-28,,1.550926806858373,1.0184462556432436,0.5785434722627312,0.6734757594765952,0.571745,0.90129,0.11375714285714285,-0.019540455216660722,0.26984550228310505,1.4697250000000002,,,-0.5211094468964221,0.18245986984815618,0.08643978916916639,0.16533848092152628,0.43444,0.5764978222286878
2000-08-29,,1.544478120692296,0.9819168175761095,0.5722841718109963,0.6729248584810298,0.5703400000000001,0.89379,0.11282899175453721,-0.020130879293723678,0.26989308808408546,1.456945,,,-0.5583722635995098,0.18138933448948624,0.08434578519569036,0.16507816091954022,0.42873500000000003,0.5753788307084327
2000-08-30,,,0.9784244229847271,0.573393999421631,0.675833950930626,0.576315,0.8958699999999999,0.1130115967391786,-0.01875703647608229,0.27515211549456836,1.460305,,,-0.5381138539515675,0.18583169178864886,0.0850335358248844,0.16675500237113255,0.431045,0.5754987598024978
2000-08-31,,1.5406595061822623,0.9799011291748861,0.5694715632896853,0.6782005359326179,0.5771400000000001,0.890208,0.11254162323280184,-0.017895187407426006,0.2741236854138089,1.448535,,,-0.5374252929595951,0.18325431629271471,0.08493953957139826,0.16605753797649755,0.427435,0.5752062539940742
2000-09-01,,1.5442435681470137,1.0134424592929188,0.5749059816199918,0.6777433879725785,0.576655,0.901243,0.11350805004275734,-0.017569590316099996,0.2738782708142727,1.46484,,,-0.535366037735849,0.18190108401084013,0.08622678513905295,0.16637630972941855,0.43002999999999997,0.5753575246949448
2000-09-04,,1.542662745098039,0.9644328870580158,0.5726092771293193,0.6775531164337087,0.575175,0.899378,0.1134228526840755,-0.017619289340101527,0.2758968822170901,1.4592749999999999,,,-0.6068490974388054,0.18295986984815615,0.08407010725010725,0.16560182087108863,0.428645,0.5741865239477504
2000-09-05,,1.5360784328813044,0.9719004352557127,0.5679409025787965,0.67626909842173,0.569445,0.891503,0.11306918492356934,-0.021316157953057316,0.2800086135421465,1.455495,,,-0.5700508834923935,0.19172379618657764,0.08345130489998942,0.1669197108879869,0.426335,0.5727887955993052
2000-09-06,,,1.1233228110981892,0.5574001458766654,0.6738604521833029,0.56345,0.87127,0.1111217387763965,-0.021850637186028744,0.2700491503551607,1.43743,,,-0.5340562376050618,0.19258357873320125,0.0826329226301597,0.16367810610012265,0.42474500000000004,0.5720507510109764
2000-09-07,,1.5245943604475356,1.0483318895145437,0.5580362224911353,0.6762823450728074,0.559155,0.8735649999999999,0.11094816824966078,-0.019288506684458938,0.2723723825693265,1.4383299999999999,,,-0.5309879672786074,0.18564262648008611,0.08318783063251438,0.1623943269908386,0.41813500000000003,0.5717722169947469
